,College Code,College Name,Course,Type,SM,EZ,MU,BH,LA,DV,VK,BX,KU,KN,SC,ST
47,MES,"M E S College of Engineering, Kuttippuram.",Aritificial Intelligence and Data Science,S,49284,0,0,0,0,0,0,0,0,0,0,0
48,RET,"Rajagiri School of Engineering and Technology, Kochi.",Aritificial Intelligence and Data Science,S,12085,22712,22579,0,0,0,0,0,0,0,23074,0
49,SJC,"St. Josephs College of Engineering and Technology,Palai.",Aritificial Intelligence and Data Science,S,46603,0,0,0,0,0,0,0,0,0,0,0
50,VML,"Vimal Jyothi Engineering College, Chemperi.",Aritificial Intelligence and Data Science,S,49603,0,0,0,0,0,0,0,0,0,0,0
51,VJC,"Viswajyothi College of Engg. & Technology,Vazhakulam.",Artificial Intelligence,S,50853,0,0,0,0,0,0,0,0,0,0,0
52,AAE,"Al-Azhar College of Engineering & Technology, Thodupuzha.",Automobile Engineering,S,50953,0,0,0,0,0,0,0,0,0,0,0
53,KIT,"Kottayam Institute of Tech. & Science, Pallicathode, Kottayam.",Automobile Engineering,S,49262,0,0,0,0,0,0,0,0,0,0,0
54,KMC,"KMCT College of  Engineering, Kozhikkode.",Automobile Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
55,MEC,"Malabar College of Engineering & Tech., Wadakancherry.",Automobile Engineering,S,50473,0,0,0,0,0,0,0,0,0,0,0
56,SCM,"SCMS School of Engg. & Tech., Ernakulam",Automobile Engineering,S,50576,0,0,0,0,0,0,0,0,0,0,0
57,ALB,"College of Pharmaceutical Sciences, Alappuzha",B.Pharm,G,1607,2281,1649,2991,2975,0,0,0,0,0,5718,0
58,AMB,"College of Pharmaceutical Science, Kannur",B.Pharm,G,2147,3540,2314,3921,3872,10363,3059,4580,13039,5826,8583,17285
59,KKB,"College of Pharmaceutical Sciences, Kozhikkode",B.Pharm,G,1045,1212,1093,1120,4155,0,1215,0,0,0,3616,13551
60,KTB,"College of Pharmaceutical Sciences, Kottayam",B.Pharm,G,2146,3382,2430,3719,2748,3469,2826,4519,11332,0,8834,15041
61,TVB,"College of Pharmaceutical Sciences, Thiruvananthapuram",B.Pharm,G,1912,2993,2063,2425,2640,6181,3056,0,0,12341,7497,7325
62,AAB,"Al-Azhar College of Pharmacy, Thodupuzha",B.Pharm,S,21504,22666,22273,30365,34497,30542,31826,0,0,0,28022,0
63,AFB,"Al Shifa College of Pharmacy, Poonthavanam, Kizhattur,",B.Pharm,S,10825,19694,11546,19094,19103,30509,18779,24231,34385,14775,25056,38984
