"Name of College","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"MET
Met's School of Engineering, Mala.","S","38000","44057","41918","-","-","-","-","-","-","-","45795","-",""
"SHR
Sahrdaya College of Engineering and Technology, Kodakara.","S","29423","44657","42960","-","-","-","-","-","-","-","49516","52350","YO:51462"
