"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"SCT","S C T College of Engineering, Pappanamcode, TVPM","N","10643","20008","17187","11188","20441","-","-","25290","33784","-","45975","-","EW:19481 MG:33874"
"MCT","Mohandas College of Engg. & Tech., Nedumangad, TVM","S","53151","-","-","-","-","-","-","-","-","-","-","-",""
"SBC","Sree Buddha College of Engineering, Nooranadu.","S","46332","48794","-","-","-","-","-","-","-","-","-","-",""
