"Name of College","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"ASI
Adi Sankara Institute of Engg. & Tech., Kalady, Ernakulam.","S","26884","32620","34618","29229","30651","46277","-","-","-","-","-","-","EW:35985"
"MUT
Muthoot Institute of Tech. & Science, Puthencurz, Ernakulam.","S","12737","21435","25112","15601","25847","-","-","-","-","-","24627","-","EW:27787"
