Program Category,Program Name,Degree,Program Type,Sanctioned Intake,Actual Intake,NRI,PIO,clg_name
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,ACE COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,ACE COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,AERONAUTICAL ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,ACE COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,ACE COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,60,Admissions Pending,Yes,No,ACE COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,120,Admissions Pending,Yes,No,ADI SHANKARA INSTITUTE OF ENGG AND TECHNOLOGY ( Private )
Engineering and Technology,ELECTRONICS AND BIOMEDICAL ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,ADI SHANKARA INSTITUTE OF ENGG AND TECHNOLOGY ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,ADI SHANKARA INSTITUTE OF ENGG AND TECHNOLOGY ( Private )
Engineering and Technology,Computer Science and Engineering (Artificial Intelligence),B.Tech,Full Time,60,Admissions Pending,Yes,No,ADI SHANKARA INSTITUTE OF ENGG AND TECHNOLOGY ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,90,Admissions Pending,Yes,No,ADI SHANKARA INSTITUTE OF ENGG AND TECHNOLOGY ( Private )
Engineering and Technology,Robotics and Automation,B.Tech,Full Time,60,Admissions Pending,Yes,No,ADI SHANKARA INSTITUTE OF ENGG AND TECHNOLOGY ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,ADI SHANKARA INSTITUTE OF ENGG AND TECHNOLOGY ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,90,Admissions Pending,Yes,No,ADI SHANKARA INSTITUTE OF ENGG AND TECHNOLOGY ( Private )
Engineering and Technology,ELECTRONICS AND COMMUNICATION ENGINEERING(COMMUNICATION ENGINEERING),M.Tech,Full Time,18,Admissions Pending,Yes,No,ADI SHANKARA INSTITUTE OF ENGG AND TECHNOLOGY ( Private )
Engineering and Technology,ELECTRONICS AND COMMUNICATION ENGINEERING(VLSI AND EMBEDDED SYSTEMS),M.Tech,Full Time,18,Admissions Pending,Yes,No,ADI SHANKARA INSTITUTE OF ENGG AND TECHNOLOGY ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,60,Admissions Pending,Yes,No,AHALIA SCHOOL OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,AHALIA SCHOOL OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,AHALIA SCHOOL OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,AHALIA SCHOOL OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,AHALIA SCHOOL OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,30,Admissions Pending,Yes,No,AL AZHAR COLLEGE OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,AUTOMOBILE ENGINEERING,B.Tech,Full Time,42,Admissions Pending,Yes,No,AL AZHAR COLLEGE OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,30,Admissions Pending,Yes,No,AL AZHAR COLLEGE OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,84,Admissions Pending,Yes,No,AL AZHAR COLLEGE OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,84,Admissions Pending,Yes,No,AL AZHAR COLLEGE OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,30,Admissions Pending,Yes,No,AL-AMEEN COLLEGE, KULAPPULLY, SHORANUR-2 ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,90,Admissions Pending,Yes,No,AL-AMEEN COLLEGE, KULAPPULLY, SHORANUR-2 ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,90,Admissions Pending,Yes,No,AL-AMEEN COLLEGE, KULAPPULLY, SHORANUR-2 ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,30,Admissions Pending,Yes,No,AL-AMEEN COLLEGE, KULAPPULLY, SHORANUR-2 ( Private )
Engineering and Technology,ELECTRONICS AND COMMUNICATION ENGINEERING(ELECTRONICS AND COMMUNICATION ENGINEERING),M.Tech,Full Time,18,Admissions Pending,No,No,AL-AMEEN COLLEGE, KULAPPULLY, SHORANUR-2 ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING(ELECTRICAL AND ELECTRONICS ENGINEERING),M.Tech,Full Time,18,Admissions Pending,No,No,AL-AMEEN COLLEGE, KULAPPULLY, SHORANUR-2 ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,ALBERTIAN INSTITUTE OF SCIENCE AND TECHNOLOGY (AISAT)- TECHNICAL CAMPUS ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,ALBERTIAN INSTITUTE OF SCIENCE AND TECHNOLOGY (AISAT)- TECHNICAL CAMPUS ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,ALBERTIAN INSTITUTE OF SCIENCE AND TECHNOLOGY (AISAT)- TECHNICAL CAMPUS ( Private )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,ALBERTIAN INSTITUTE OF SCIENCE AND TECHNOLOGY (AISAT)- TECHNICAL CAMPUS ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,60,Admissions Pending,Yes,No,ALBERTIAN INSTITUTE OF SCIENCE AND TECHNOLOGY (AISAT)- TECHNICAL CAMPUS ( Private )
Engineering and Technology,CIVIL ENGINEERING(GEOMECHANICS AND STRUCTURES),M.Tech,Full Time,18,Admissions Pending,No,No,ALBERTIAN INSTITUTE OF SCIENCE AND TECHNOLOGY (AISAT)- TECHNICAL CAMPUS ( Private )
Engineering and Technology,FOOD TECHNOLOGY,B.Tech,Full Time,60,Admissions Pending,Yes,No,AMAL JYOTHI COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,120,Admissions Pending,Yes,Yes,AMAL JYOTHI COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,METALLURGICAL & MATERIALS ENGINEERING,B.Tech,Full Time,30,Admissions Pending,Yes,Yes,AMAL JYOTHI COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,CHEMICAL ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,Yes,AMAL JYOTHI COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,120,Admissions Pending,Yes,Yes,AMAL JYOTHI COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,MECHANICAL ENGINEERING (AUTOMOBILE),B.Tech,Full Time,60,Admissions Pending,Yes,Yes,AMAL JYOTHI COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,120,Admissions Pending,Yes,Yes,AMAL JYOTHI COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,INFORMATION TECHNOLOGY,B.Tech,Full Time,60,Admissions Pending,Yes,Yes,AMAL JYOTHI COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,120,Admissions Pending,Yes,Yes,AMAL JYOTHI COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,Yes,AMAL JYOTHI COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,AWH ENGINEERING COLLEGE ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,30,Admissions Pending,Yes,No,AWH ENGINEERING COLLEGE ( Private )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,AWH ENGINEERING COLLEGE ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,30,Admissions Pending,Yes,No,AWH ENGINEERING COLLEGE ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,AWH ENGINEERING COLLEGE ( Private )
Engineering and Technology,ELECTRONICS AND COMMUNICATION ENGINEERING(VLSI DESIGN),M.Tech,Full Time,9,Admissions Pending,No,No,AWH ENGINEERING COLLEGE ( Private )
Engineering and Technology,CIVIL ENGINEERING(STRUCTURAL ENGINEERING),M.Tech,Full Time,18,Admissions Pending,No,No,AWH ENGINEERING COLLEGE ( Private )
Engineering and Technology,COMPUTER SCIENCE AND ENGINEERING(COMPUTER SCIENCE AND ENGINEERING),M.Tech,Full Time,18,Admissions Pending,No,No,AWH ENGINEERING COLLEGE ( Private )
MCA,MCA TWO YEARS,MCA TWO YEARS,Full Time,30,Admissions Pending,Yes,No,AWH ENGINEERING COLLEGE ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,30,Admissions Pending,No,No,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY ( Private )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,30,Admissions Pending,No,No,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,60,Admissions Pending,No,No,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,60,Admissions Pending,No,No,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,30,Admissions Pending,No,No,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,30,Admissions Pending,Yes,No,BASELIOS MATHEWS II COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,30,Admissions Pending,Yes,No,BASELIOS MATHEWS II COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,BASELIOS MATHEWS II COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,BASELIOS MATHEWS II COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,BASELIOS MATHEWS II COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,COMPUTER SCIENCE AND ENGINEERING(COMPUTER SCIENCE AND ENGINEERING),M.Tech,Full Time,18,Admissions Pending,No,No,BASELIOS MATHEWS II COLLEGE OF ENGINEERING ( Private )
Architecture and Town Planning,ARCHITECTURE,B.Arch,Full Time,40,Admissions Pending,Yes,No,BISHOP JEROME INSTITUTE ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,BISHOP JEROME INSTITUTE ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,BISHOP JEROME INSTITUTE ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,BISHOP JEROME INSTITUTE ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,60,Admissions Pending,Yes,No,BISHOP JEROME INSTITUTE ( Private )
Management,MASTERS IN BUSINESS ADMINISTRATION,MBA,Full Time,60,Admissions Pending,No,No,BISHOP JEROME INSTITUTE ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,CARMEL COLLEGE OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,CARMEL COLLEGE OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,CARMEL COLLEGE OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,CARMEL COLLEGE OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,CHRIST COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,CHRIST COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,CHRIST COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,CHRIST COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,60,Admissions Pending,Yes,No,CHRIST COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,21,Admissions Pending,Yes,No,CHRIST KNOWLEDGE CITY ( Private )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,30,Admissions Pending,Yes,No,CHRIST KNOWLEDGE CITY ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,30,Admissions Pending,Yes,No,CHRIST KNOWLEDGE CITY ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,21,Admissions Pending,Yes,No,CHRIST KNOWLEDGE CITY ( Private )
Engineering and Technology,NAVAL ARCHITECTURE & SHIP BUILDING ENGG,B.Tech,Full Time,42,Admissions Pending,Yes,No,CHRIST KNOWLEDGE CITY ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,30,Admissions Pending,No,No,COLLEGE OF ENGINEERING, KOTTARAKKARA ( Government Self financing )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,60,Admissions Pending,No,No,COLLEGE OF ENGINEERING, KOTTARAKKARA ( Government Self financing )
Architecture and Town Planning,ARCHITECTURE,B.Arch,Full Time,120,Admissions Pending,No,No,COLLEGE OF ARCHITECTURE TRIVANDRUM ( Private )
Applied Arts Crafts and Design,Design,B.Des,Full Time,60,Admissions Pending,No,No,COLLEGE OF ARCHITECTURE TRIVANDRUM ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,COLLEGE OF ENGINEERING KALLOOPPARA ( Government Self financing )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,60,Admissions Pending,Yes,No,COLLEGE OF ENGINEERING KALLOOPPARA ( Government Self financing )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,COLLEGE OF ENGINEERING KALLOOPPARA ( Government Self financing )
Engineering and Technology,COMPUTER SCIENCE AND ENGINEERING(CYBER FORENSICS AND INFORMATION SECURITY),M.Tech,Full Time,18,Admissions Pending,No,No,COLLEGE OF ENGINEERING KALLOOPPARA ( Government Self financing )
Architecture and Town Planning,ARCHITECTURE,B.Arch,Full Time,40,Admissions Pending,Yes,No,COLLEGE OF ENGINEERING & TECHNOLOGY-PAYYANUR ( Private )
