"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"KKE","Govt. Engineering College, Kozhikkode.","G","6871","9854","12240","9640","19379","12140","8882","-","43351","-","43380","43088","EW:16092 SD:12663"
"TCR","Govt. Engineering College,Thrissur.","G","3645","5268","4968","7220","7764","11889","4619","21012","-","-","26724","26878","CC:6 EW:7180"
"TKM","T K M College of Engineering, Kollam.","G","5670","6852","5984","6736","6408","15707","15913","49702","33266","-","46997","49422","RP:29367"
"AJC","Amal Jyothi College of Engineering, Koovapally, Kanjirapally","S","41077","52349","51050","-","51409","-","-","-","-","-","-","-","OE:46197"
"CCV","MGM College of Engineering and Pharmaceutical Sciences,","S","51983","-","-","-","-","-","-","-","-","-","-","-",""
"MGP","Saintgits College of Engineering, Kottayam","S","33412","39342","46894","-","-","-","-","-","-","-","52114","-","OE:40657"
"TCE","Toms College of Engineering, Mattakara, Kottayam","S","52169","-","-","-","-","-","-","-","-","-","-","-",""
