"Name of College","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"EKC","Eranad Knowledgecity Technical Campus, Cherukulam, Manjeri","S","52990","-","-","-","-","-","-","-","-","-","-","-",""
"TOC","Toc H Institute of Science & Tech., Mulamthurutthy.","S","53028","-","-","-","-","-","-","-","-","-","-","-",""
