"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"CFT","College of Food Technolgy, Thumburmuzhy","G","9288","12548","11430","11011","19558","-","-","-","-","-","40494","-","EW:11126"
"COU","School of Ocean Engg. & Underwater Tech., KUFOS, Panangad","G","12368","15215","13826","16729","15100","19100","12936","13888","-","-","42495","-","PD:52830"
"KCT","Kelappaji College of-Agrl. Engg. & Technology, Tavanur.","G","12429","14889","14120","17917","-","38793","16687","-","39181","12469","33294","-","EW:16393"
"AJC","Amal Jyothi College of Engineering, Koovapally, Kanjirapally","S","32550","51160","40651","43151","36216","-","-","-","-","-","51702","-","YB:41957"
"MGP","Saintgits College of Engineering, Kottayam","S","28873","36052","36186","-","39257","42056","-","50111","-","-","51606","-",""
"SBC","Sree Buddha College of Engineering, Nooranadu.","S","37665","-","41261","-","-","-","-","-","47313","-","49534","-","EW:48072"
"TKI","T K M Institute of Technology, Ezhukone, Kollam.","S","28663","41130","32269","-","-","43433","-","-","-","-","47958","-",""
