"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"KMW","KMCT College of  Engineering for Women, Manassery.","S","44998","48481","47262","-","-","-","-","-","-","-","53169","-",""
"SHR","Sahrdaya College of Engineering and Technology, Kodakara.","S","27145","41427","28359","30850","40760","-","-","-","-","52719","52644","-","YO:47614"
"TKI","T K M Institute of Technology, Ezhukone, Kollam.","S","32923","40473","45472","34315","33118","45768","45671","-","-","-","52865","-",""
