"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"PKD","Govt. Engineering College, Sreekrishnapuram.","G","3362","5990","5997","5539","8005","19485","5852","23575","45783","28598","37250","52789","EW:6595 SD:17864"
"TCR","Govt. Engineering College,Thrissur.","G","976","1226","1084","1328","3828","2714","1220","-","-","-","20597","20190","CC:4 EW:1917 PD:48375"
"TKM","T K M College of Engineering, Kollam.","G","1366","1582","1536","1859","3401","7522","1762","7862","5608","9296","22678","49641","CC:8 PD:36574 RP:2189"
"TVE","College of Engineering,Thiruvananthapuram.","G","466","680","765","796","1805","934","731","3203","4285","5506","10081","33153","CC:1 EW:1099 PD:34031"
"WYD","Govt. Engineering College, Mananthavady.","G","4243","13339","8290","18737","38216","40677","10987","-","-","-","46369","38706","EW:13322 PI:43 XS:9069"
"ADR","College of Engineering, Adoor","N","14636","18877","19080","18763","19048","-","-","20622","-","-","52861","-","EW:18662 MG:41947 OE:23908"
"AEC","College of Engineering, Aranmula, Pathanamthitta.","N","35140","36896","43467","37926","47885","42337","37319","-","-","-","49156","-","EW:45934 MG:51992"
"CEA","College of Engineering, Attingal, Thiruvananthapuram.","N","18613","20577","22006","23545","32823","-","19735","-","-","-","53106","-","EW:32522 MG:52448 XS:32663"
"CEC","College of Engineering, Cherthala, Alappuzha.","N","23902","29880","29820","24440","25130","33360","-","-","45467","-","48855","-","EW:36471 MG:51994"
"CEK","College of Engineering, Kottarakkara, Kollam.","N","33207","39161","43442","41942","35927","-","49151","-","-","-","-","-","EW:42437 MG:47816"
"CEM","College of Engineering, Muttathara.","N","33835","38565","38894","39550","43792","-","36513","45073","-","-","52926","-","EW:42884 MG:49725"
"CHN","College of Engineering, Chengannur, Alappuzha.","N","8268","11680","10923","11387","19928","14447","9385","-","-","-","49167","-","EW:14643 MG:23598"
"KGR","College of Engineering, Kidangoor.","N","24257","29192","44874","30864","35057","35654","31448","-","-","-","52140","-","EW:32786 MG:52799 OE:42041"
"KNP","College of Engineering, Karunagappally.","N","25419","29789","30007","29627","26866","38199","30666","-","-","-","46094","-","EW:30311 MG:49466"
"KSD","LBS College of Engineering, Kasaragod.","N","20702","27207","26630","23280","44031","44429","26880","-","-","-","49017","-","EW:45319 MG:53115 OE:46724"
"LBT","LBS Institute of Tech. for Women, Poojapura, TVPM","N","10501","13286","16022","12968","30474","33922","16508","-","-","-","49529","-","EW:18870 MG:24540"
"MDL","Model Engineering College, Thrikkakkara.","N","1459","2375","1935","1729","1899","6531","4936","13584","6558","44137","30341","13575","EW:2666 MG:3038"
"MNR","College of Engineering, Munnar.","N","29511","31247","38017","44578","41097","-","-","-","-","-","50298","-","EW:31656 MG:50562"
"PEC","College of Engineering, Pathanapuram.","N","36256","41804","44105","-","42212","47058","49700","-","-","-","48577","-","EW:49434 MG:49350"
"PJR","College of Engineering, Poonjar.","N","31705","32617","40585","-","-","-","-","-","-","-","41754","-","EW:42973 MG:47365"
"PRN","College of Engineering Perumon.","N","19362","25064","23311","23363","45846","42970","43048","-","-","-","51299","-","EW:23181 MG:38007 OE:26450"
"PRP","College of Engineering & Management, Punnapra.","N","35570","39867","40289","-","36859","37013","51577","-","51024","47123","43637","-","EW:41740 MG:52477"
"PTA","College of Engineering, Kallooppara.","N","20868","26994","39009","26060","31496","-","-","-","-","-","51779","-","EW:26944 MG:44306 OE:39975"
