"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"AAE","Al-Azhar College of Engineering & Technology, Thodupuzha.","S","50953","-","-","-","-","-","-","-","-","-","-","-",""
"KIT","Kottayam Institute of Tech. & Science, Pallicathode, Kottayam.","S","49262","-","-","-","-","-","-","-","-","-","-","-",""
"KMC","KMCT College of  Engineering, Kozhikkode.","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"MEC","Malabar College of Engineering & Tech., Wadakancherry.","S","50473","-","-","-","-","-","-","-","-","-","-","-",""
"SCM","SCMS School of Engg. & Tech., Ernakulam","S","50576","-","-","-","-","-","-","-","-","-","-","-",""
