Program Category,Program Name,Degree,Program Type,Sanctioned Intake,Actual Intake,NRI,PIO,clg_name
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,60,54,Yes,No,ALBERTIAN INSTITUTE OF SCIENCE AND TECHNOLOGY (AISAT)- TECHNICAL CAMPUS ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,60,18,Yes,No,ALBERTIAN INSTITUTE OF SCIENCE AND TECHNOLOGY (AISAT)- TECHNICAL CAMPUS ( Private )
Engineering and Technology,CIVIL ENGINEERING(GEOMECHANICS AND STRUCTURES),M.Tech,Full Time,18,6,No,No,ALBERTIAN INSTITUTE OF SCIENCE AND TECHNOLOGY (AISAT)- TECHNICAL CAMPUS ( Private )
Engineering and Technology,METALLURGY,B.Tech,Full Time,60,18,Yes,Yes,AMAL JYOTHI COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,CHEMICAL ENGINEERING,B.Tech,Full Time,60,64,Yes,Yes,AMAL JYOTHI COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,120,120,Yes,Yes,AMAL JYOTHI COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,120,125,Yes,Yes,AMAL JYOTHI COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,INFORMATION TECHNOLOGY,B.Tech,Full Time,60,43,Yes,Yes,AMAL JYOTHI COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,AUTOMOBILE ENGINEERING,B.Tech,Full Time,60,46,Yes,Yes,AMAL JYOTHI COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,120,89,Yes,Yes,AMAL JYOTHI COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,44,Yes,Yes,AMAL JYOTHI COLLEGE OF ENGINEERING ( Private )
