"Name of College","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"CDI
College of Dairy Science & Tech., Idukki","G","10559","13968","13562","16290","-","-","18489","27886","-","-","37506","-","EW:18051"
"CDP
College of Dairy Science & Tech., Pookode Campus, Wayanad.","G","9334","10621","12642","16046","19621","-","-","-","42475","-","34046","-","EW:14174"
