"Name of College","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"CKC","Christ Knowledge City, Kuzhoor,EKM","S","53217","-","-","-","-","-","-","-","-","-","-","-",""
"SNG","Sree Narayana Gurukulam College of Engineering, Kolencherry.","S","50811","-","-","-","-","-","-","-","-","-","-","-",""
