"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"IDK","Engineering College, Idukki","G","8664","20931","20798","18897","21633","35653","20942","29866","-","-","53146","-","CC:45 EW:22427 PI:44"
"KKE","Govt. Engineering College, Kozhikkode.","G","8245","10075","10164","10630","22271","42316","14002","36289","-","-","51980","-","EW:19608 PD:41789"
"KNR","Govt. College of Engineering, Kannur.","G","7200","8259","9418","8496","25929","36072","19466","-","49493","15148","52860","51489","EW:10698"
"KTE","Govt. Rajiv Gandhi Institute of Tech., Kottayam.","G","4819","5859","7320","7760","7855","35776","7501","11194","13540","46145","47073","47409","CC:48 EW:6543 SD:4957"
"MAC","M A College of Engineering, Kothamangalam.","G","4683","6302","6646","6352","7370","26614","4868","26948","23301","-","52145","-","CC:42 PT:12"
"NSS","N S S College of Engineering, Palakkad.","G","6579","6857","8134","10053","8644","33336","6933","29009","52131","-","52959","-","CC:35 EW:8104 PT:34"
"PKD","Govt. Engineering College, Sreekrishnapuram.","G","8247","14088","13989","12950","20913","44857","11078","-","-","-","52092","50840","EW:23269"
"TCR","Govt. Engineering College,Thrissur.","G","1943","2461","2560","2328","5074","32398","3766","-","-","-","29181","44379","EW:2897 PI:9"
"TKM","T K M College of Engineering, Kollam.","G","2545","3436","3087","2697","4439","12773","4719","13596","13242","15246","40067","-","PI:8 XS:3277"
"TRV","Govt. Engineering College, Barton Hills, TVM","G","3607","4769","5064","5706","4814","21057","6620","-","5375","16180","38635","-","CC:3 EW:5079"
"TVE","College of Engineering,Thiruvananthapuram.","G","709","821","889","818","3643","4367","980","-","-","-","17750","-","EW:1708 PD:50461"
"WYD","Govt. Engineering College, Mananthavady.","G","9964","23815","23458","39377","46966","48704","33314","39041","-","42531","53158","51284","EW:38782 SD:41968"
"ADR","College of Engineering, Adoor","N","43264","-","-","-","-","-","-","-","-","-","-","-","MG:50959"
"AEC","College of Engineering, Aranmula, Pathanamthitta.","N","45759","-","-","-","-","-","-","-","-","-","-","-",""
"CEA","College of Engineering, Attingal, Thiruvananthapuram.","N","49820","-","-","-","-","-","-","-","-","-","-","-","MG:49159"
