"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"CEC","College of Engineering, Cherthala, Alappuzha.","N","47949","-","-","-","-","-","-","-","-","-","-","-",""
"CEK","College of Engineering, Kottarakkara, Kollam.","N","52491","-","-","-","-","-","-","-","-","-","-","-",""
"CEM","College of Engineering, Muttathara.","N","51900","-","-","-","-","-","-","-","-","-","-","-",""
"CHN","College of Engineering, Chengannur, Alappuzha.","N","23254","27915","30936","42552","37939","-","-","-","-","-","49991","-","EW:45604 MG:50978"
"KGR","College of Engineering, Kidangoor.","N","53167","-","-","-","-","-","-","-","-","-","-","-",""
"KNP","College of Engineering, Karunagappally.","N","52260","-","-","-","-","-","-","-","-","-","-","-",""
"KSD","LBS College of Engineering, Kasaragod.","N","51566","-","-","-","-","-","-","-","-","-","-","-","MG:51480"
"LBT","LBS Institute of Tech. for Women, Poojapura, TVPM","N","15776","19235","27533","25199","23768","52746","27228","-","-","-","45875","-","EW:25555 MG:42267"
"MDL","Model Engineering College, Thrikkakkara.","N","3796","5637","5272","6600","5156","38029","9125","35293","44332","20250","52768","-","EW:6446 MG:6835"
"MNR","College of Engineering, Munnar.","N","52650","-","-","-","-","-","-","-","-","-","-","-",""
"PEC","College of Engineering, Pathanapuram.","N","52222","-","-","-","-","-","-","-","-","-","-","-",""
"PJR","College of Engineering, Poonjar.","N","52596","-","-","-","-","-","-","-","-","-","-","-",""
"PRN","College of Engineering Perumon.","N","37065","47101","48061","-","47913","-","40468","-","-","-","50137","-","EW:44071 MG:49588"
"PRP","College of Engineering & Management, Punnapra.","N","52203","-","-","-","-","-","-","-","-","-","-","-",""
"PTA","College of Engineering, Kallooppara.","N","51407","-","-","-","-","-","-","-","-","-","-","-",""
"SCT","S C T College of Engineering, Pappanamcode, TVPM","N","9213","11683","15115","10512","13257","-","29613","-","-","-","52453","-","EW:19731 MG:24114 OE:38013"
"TKR","College of Engineering, Thrikarippur, Kasaragod.","N","50426","-","-","-","-","-","-","-","-","-","-","-",""
"TLY","College of Engineering, Thalassery, Kannur.","N","38135","43648","52598","44140","-","-","49995","52738","-","-","-","-","MG:48344"
"UCC","Calicut Unity. Institute of Engineering & Tech., Tenhipalam.","N","49645","-","-","-","-","-","-","-","-","-","-","-",""
"UCE","University College of Engineering,Thodupuzha.","N","47093","-","-","-","-","-","-","-","-","-","-","-",""
"UCK","University College of Engineering, Kariavattom.","N","40446","51920","50138","45840","-","-","-","-","-","-","-","53088","MG:43116"
"VDA","College of Engineering, Vadakara, Kozhikode.","N","52756","-","-","-","-","-","-","-","-","-","-","-","MG:43959"
"AAE","Al-Azhar College of Engineering & Technology, Thodupuzha.","S","45810","-","-","-","-","-","-","-","-","-","-","-","MM:48456"
