"Name of College","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"CDT
College of Dairy Science & Tech., Mannuthy, Thrissur","G","6631","8060","7665","-","-","16953","6913","-","-","45992","16896","-","EW:8890 PD:41251 PI:17"
"CDV
College of Dairy Science & Tech., Karakulam P O, TVM.","G","9133","11741","10628","16114","30396","-","16660","-","-","-","21266","-","EW:18514"
