"Name of College","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"CCV
MGM College of Engineering and Pharmaceutical Sciences,","S","45104","-","-","-","-","-","-","-","-","-","-","-",""
"JEC
Jyothi Engineering College, Cheruthuruthy.","S","49112","-","-","-","-","-","-","-","-","-","-","-",""
