Program Category,Program Name,Degree,Program Type,Sanctioned Intake,Actual Intake,NRI,PIO,clg_name
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,22,Yes,No,ACE COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,60,38,Yes,No,ACE COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,AERONAUTICAL ENGINEERING,B.Tech,Full Time,60,41,Yes,No,ACE COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,60,29,Yes,No,ACE COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,60,32,Yes,No,ACE COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,120,123,Yes,No,ADI SHANKARA INSTITUTE OF ENGG AND TECHNOLOGY ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,34,Yes,No,ADI SHANKARA INSTITUTE OF ENGG AND TECHNOLOGY ( Private )
Engineering and Technology,Computer Science and Engineering (Artificial Intelligence),B.Tech,Full Time,60,64,Yes,No,ADI SHANKARA INSTITUTE OF ENGG AND TECHNOLOGY ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,120,75,Yes,No,ADI SHANKARA INSTITUTE OF ENGG AND TECHNOLOGY ( Private )
Engineering and Technology,Robotics and Automation,B.Tech,Full Time,60,48,Yes,No,ADI SHANKARA INSTITUTE OF ENGG AND TECHNOLOGY ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,60,37,Yes,No,ADI SHANKARA INSTITUTE OF ENGG AND TECHNOLOGY ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,120,66,Yes,No,ADI SHANKARA INSTITUTE OF ENGG AND TECHNOLOGY ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING(POWER ELECTRONICS AND POWER SYSTEMS),M.Tech,Full Time,18,10,Yes,No,ADI SHANKARA INSTITUTE OF ENGG AND TECHNOLOGY ( Private )
Engineering and Technology,ELECTRONICS AND COMMUNICATION ENGINEERING(COMMUNICATION ENGINEERING),M.Tech,Full Time,18,4,Yes,No,ADI SHANKARA INSTITUTE OF ENGG AND TECHNOLOGY ( Private )
Engineering and Technology,ELECTRONICS AND COMMUNICATION ENGINEERING(VLSI AND EMBEDDED SYSTEMS),M.Tech,Full Time,18,7,Yes,No,ADI SHANKARA INSTITUTE OF ENGG AND TECHNOLOGY ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,60,25,Yes,No,AHALIA SCHOOL OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,60,34,Yes,No,AHALIA SCHOOL OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,60,18,Yes,No,AHALIA SCHOOL OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,60,55,Yes,No,AHALIA SCHOOL OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,15,Yes,No,AHALIA SCHOOL OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,30,30,Yes,No,AL AZHAR COLLEGE OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,AUTOMOBILE ENGINEERING,B.Tech,Full Time,42,8,Yes,No,AL AZHAR COLLEGE OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,30,9,Yes,No,AL AZHAR COLLEGE OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,84,20,Yes,No,AL AZHAR COLLEGE OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,84,26,Yes,No,AL AZHAR COLLEGE OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,30,14,Yes,No,AL-AMEEN COLLEGE, KULAPPULLY, SHORANUR-2 ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,90,51,Yes,No,AL-AMEEN COLLEGE, KULAPPULLY, SHORANUR-2 ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,90,25,Yes,No,AL-AMEEN COLLEGE, KULAPPULLY, SHORANUR-2 ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,30,26,Yes,No,AL-AMEEN COLLEGE, KULAPPULLY, SHORANUR-2 ( Private )
Engineering and Technology,ELECTRONICS AND COMMUNICATION ENGINEERING(ELECTRONICS AND COMMUNICATION ENGINEERING),M.Tech,Full Time,18,3,No,No,AL-AMEEN COLLEGE, KULAPPULLY, SHORANUR-2 ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING(ELECTRICAL AND ELECTRONICS ENGINEERING),M.Tech,Full Time,18,4,No,No,AL-AMEEN COLLEGE, KULAPPULLY, SHORANUR-2 ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,57,Yes,No,ALBERTIAN INSTITUTE OF SCIENCE AND TECHNOLOGY (AISAT)- TECHNICAL CAMPUS ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,60,60,Yes,No,ALBERTIAN INSTITUTE OF SCIENCE AND TECHNOLOGY (AISAT)- TECHNICAL CAMPUS ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,60,59,Yes,No,ALBERTIAN INSTITUTE OF SCIENCE AND TECHNOLOGY (AISAT)- TECHNICAL CAMPUS ( Private )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,60,59,Yes,No,ALBERTIAN INSTITUTE OF SCIENCE AND TECHNOLOGY (AISAT)- TECHNICAL CAMPUS ( Private )
