"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"JEC","Jyothi Engineering College, Cheruthuruthy.","S","52367","-","-","-","-","-","-","-","-","-","-","-",""
"MES","M E S College of Engineering, Kuttippuram.","S","49284","-","-","-","-","-","-","-","-","-","-","-","MM:51554"
"RET","Rajagiri School of Engineering and Technology, Kochi.","S","12085","22712","22579","-","-","-","-","-","-","-","23074","-","YN:41654"
"SJC","St. Josephs College of Engineering and Technology,Palai.","S","46603","-","-","-","-","-","-","-","-","-","-","-","YP:52473"
"VML","Vimal Jyothi Engineering College, Chemperi.","S","49603","-","-","-","-","-","-","-","-","-","-","-","YR:44649"
