"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"ASI","Adi Sankara Institute of Engg. & Tech., Kalady, Ernakulam.","S","51591","-","-","-","-","-","-","-","-","-","-","-",""
"JEC","Jyothi Engineering College, Cheruthuruthy.","S","51475","-","-","-","-","-","-","-","-","-","-","-",""
"MGP","Saintgits College of Engineering, Kottayam","S","52430","-","-","-","-","-","-","-","-","-","-","-",""
"RIE","Rajadhani Institute of Engineering & Tech., Attingal.","S","52628","-","-","-","-","-","-","-","-","-","-","-",""
"SBC","Sree Buddha College of Engineering, Nooranadu, Padanilam,","S","46158","48210","-","-","-","46214","51562","-","-","-","-","-","EW:49361"
"TOC","Toc H Institute of Science & Tech., Mulamthurutthy.","S","52727","-","-","-","-","-","-","-","-","-","-","-",""
