"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"AWH","AWH Engineering College, Kozhikkode","S","51109","-","-","-","-","-","-","-","-","-","-","-",""
"AXE","Axis College of Engineering & Technology, Murikkingal, Thrissur.","S","51075","-","-","-","-","-","-","-","-","-","-","-",""
"BJK","Bishop Jerome Institute, Kollam.","S","53155","-","-","-","-","-","-","-","-","-","-","-","YC:45400"
"BMC","Baselios Mathew II College of Engg., Sasthamcotta, Kollam.","S","53163","-","-","-","-","-","-","-","-","-","-","-",""
"CCE","Christ College of Engineering, Irinjalakuda.","S","52386","-","-","-","-","-","-","-","-","-","-","-",""
"CCV","MGM College of Engineering and Pharmaceutical Sciences,","S","49011","-","-","-","-","-","-","-","-","-","-","-",""
"CEN","College of Engineering and Technology, Payyannur, Kannur.","S","52888","-","-","-","-","-","-","-","-","-","-","-",""
"CKC","Christ Knowledge City, Kuzhoor,EKM","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"CMA","Carmel College of Engg. & Technology, Punnapra, Alappuzha.","S","44679","50981","-","-","-","-","-","-","-","-","52296","-",""
"DMC","M Dasan Memmorial Co-op. Inst. of Engg. & Inf. Tech., Koyilandy.","S","53148","-","-","-","-","-","-","-","-","-","-","-",""
"ECE","ICCS College of Engineering and Management, Thrissur","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"EKC","Eranad Knowledgecity Technical Campus, Cherukulam, Manjeri","S","44103","-","-","-","-","-","-","-","-","-","-","-",""
"FIT","Federal Institute of Science & Tech., Angamaly.","S","50200","-","-","-","-","-","-","-","-","-","-","-",""
"GIT","Gurudeva Institute of Science & Technology, Puthuppally.","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"HCE","Heera College of Engineering & Technology, Nedumangad.","S","50034","-","-","-","-","-","-","-","-","-","-","-",""
"HGW","Holy Grace Academy of Engineering, Mala, Thrissur.","S","29174","-","-","-","-","-","-","-","-","-","-","-",""
"ICE","Ilahia College of Engineering & Tech., Moovattupuzha.","S","48482","-","-","-","-","-","-","-","-","-","-","-",""
"IES","I E S College of Engineering, Chittilappilly.","S","52547","-","-","-","-","-","-","-","-","-","-","-",""
"IGW","Indira Gandhi Inst. of Engineering & Tech., Kothamangalam","S","51694","-","-","-","-","-","-","-","-","-","-","-","MM:51490"
"ILE","ILM College of Engineering, Perumbavoor, Ernakulam.","S","51570","-","-","-","-","-","-","-","-","-","-","-",""
"JBT","Jai Bharath College of Management & Engg. Tech., Perumbavoor.","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"JCE","Jawaharlal College of Engineering & Technology, Ottappalam.","S","46626","-","-","-","-","-","-","-","-","-","-","-",""
"JEC","Jyothi Engineering College, Cheruthuruthy.","S","52613","-","-","-","-","-","-","-","-","-","-","-",""
