"Name of College","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"RET
Rajagiri School of Engineering and Technology, Kochi.","S","46510","-","-","-","-","-","-","-","-","-","-","-",""
"VML
Vimal Jyothi Engineering College, Chemperi.","S","51146","-","-","-","-","-","-","-","-","-","-","-","YR:45253"
