"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"IDK","Engineering College, Idukki","G","14423","23163","19899","33788","38059","-","22219","29137","-","-","52553","51333","EW:27792 XS:25577"
"PKD","Govt. Engineering College, Sreekrishnapuram.","G","11301","14741","13652","15635","19310","51727","23900","-","-","-","49379","-","EW:21947 PI:48 XS:13738"
"TRV","Govt. Engineering College, Barton Hills, TVM","G","7890","8510","9791","10764","12759","33829","10516","10907","42518","22612","44551","-","CC:5 EW:21246 PT:47 SD:24989"
"KSD","LBS College of Engineering, Kasaragod.","N","35254","43511","35671","-","-","-","-","-","-","-","-","-","MG:52735"
"LBT","LBS Institute of Tech. for Women, Poojapura, TVPM","N","29155","35982","32262","35531","46682","-","-","-","-","-","48928","-","EW:37582 MG:47758"
"TLY","College of Engineering, Thalassery, Kannur.","N","37198","45341","43000","39548","-","40348","41971","-","-","-","53156","-",""
"UCC","Calicut Unity. Institute of Engineering & Tech., Tenhipalam.","N","53202","-","-","-","-","-","-","-","-","-","-","-",""
"UCK","University College of Engineering, Kariavattom.","N","46815","50787","-","49691","-","-","-","-","-","-","-","-","MG:49176"
"VDA","College of Engineering, Vadakara, Kozhikode.","N","53092","-","-","-","-","-","-","-","-","-","-","-",""
"AJC","Amal Jyothi College of Engineering, Koovapally, Kanjirapally","S","53114","-","-","-","-","-","-","-","-","-","-","-",""
"KMC","KMCT College of  Engineering, Kozhikkode.","S","47458","-","-","-","-","-","-","-","-","-","-","-",""
"MEA","M E A Engineering College, Malappuram.","S","49869","-","-","-","-","-","-","-","-","-","-","-",""
"MES","M E S College of Engineering, Kuttippuram.","S","52811","-","-","-","-","-","-","-","-","-","-","-","MM:44858"
"RET","Rajagiri School of Engineering and Technology, Kochi.","S","17696","36007","25232","-","-","31670","-","-","36270","-","-","-","YN:31265"
"TOC","Toc H Institute of Science & Tech., Mulamthurutthy.","S","53137","-","-","-","-","-","-","-","-","-","-","-",""
"VJC","Viswajyothi College of Engg. & Technology,Vazhakulam.","S","49675","-","-","-","-","-","-","-","-","-","-","-","AC:51708"
