"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"CHN","College of Engineering, Chengannur, Alappuzha.","N","52574","-","-","-","-","-","-","-","-","-","-","-","MG:50355"
"FIT","Federal Institute of Science & Tech., Angamaly.","S","48368","-","-","-","-","-","-","-","-","-","-","-",""
"SIT","Sarabhai Institute of Science & Technology, Vellanad.","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"SJC","St. Josephs College of Engineering and Technology,Palai.","S","29863","-","-","-","-","-","-","-","-","-","-","-",""
