"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"ILE","ILM College of Engineering, Perumbavoor, Ernakulam.","S","51741","-","-","-","-","-","-","-","-","-","-","-",""
"JCE","Jawaharlal College of Engineering & Technology, Ottappalam.","S","52539","-","-","-","-","-","-","-","-","-","-","-",""
"MHP","Ace College of Engineering, .Thiruvallam.","S","51501","-","-","-","-","-","-","-","-","-","-","-","MM:46036"
"MZC","Mount Zion College of Engg., Pathanamthitta.","S","48014","-","-","-","-","-","-","-","-","-","-","-",""
"RIE","Rajadhani Institute of Engineering & Tech., Attingal.","S","52146","-","-","-","-","-","-","-","-","-","-","-",""
