"Name of College","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"SCT","S C T College of Engineering, Pappanamcode, TVPM","N","4995","7523","8660","7630","10949","32393","5017","-","-","-","49741","-","EW:7561 MG:11992"
"SBC","Sree Buddha College of Engineering, Nooranadu.","S","53211","-","-","-","-","-","-","-","-","-","-","-",""
