"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"ILE","ILM College of Engineering, Perumbavoor, Ernakulam.","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"JCE","Jawaharlal College of Engineering & Technology, Ottappalam.","S","52289","-","-","-","-","-","-","-","-","-","-","-",""
"JEC","Jyothi Engineering College, Cheruthuruthy.","S","51285","-","-","-","-","-","-","-","-","-","-","-",""
"JIT","John Cox Memorial CSI Institute of Technology,","S","48047","-","-","-","-","-","-","-","-","-","-","-",""
"KIT","Kottayam Institute of Tech. & Science, Pallicathode, Kottayam.","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"KMC","KMCT College of  Engineering, Kozhikkode.","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"KME","K M E A Engineering College, Edathala.","S","42129","-","-","-","-","-","-","-","-","-","-","-","MM:35629"
"LMC","Lourdes Matha College of Science and Technology, Kuttichal.","S","52808","-","-","-","-","-","-","-","-","-","-","-",""
"MBC","Mar Baselios Christian College of Engg. & Tech., Peermede.","S","52580","-","-","-","-","-","-","-","-","-","-","-",""
"MBI","Mar Baselios Institute of Technology & Science, Kothamangalam.","S","50462","-","-","-","-","-","-","-","-","-","-","-",""
"MBT","Mar Baselious College of Engg. & Tech., Thiruvananthapuram.","S","52492","-","-","-","-","-","-","-","-","-","-","-",""
"MCC","Musaliar College of Engineering, Chirayinkeezh.","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"MCE","Marian Engineering College, Kazhakuttom.","S","51754","-","-","-","-","-","-","-","-","-","-","-","YJ:48475"
"MCK","Musaliar College of Engineering & Tech., Pathanamthitta.","S","52417","-","-","-","-","-","-","-","-","-","-","-",""
"MCT","Mohandas College of Engg. & Tech., Nedumangad, TVM","S","48514","-","-","-","-","-","-","-","-","-","-","-",""
"MEA","M E A Engineering College, Malappuram.","S","42723","-","-","-","-","-","-","-","-","-","-","-",""
"MEC","Malabar College of Engineering & Tech., Wadakancherry.","S","49606","-","-","-","-","-","-","-","-","-","-","-",""
"MEE","MES College of Engineering & Technology, .Ernakulam.","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"MEK","MES Institute of Tech. & Management, Chathannoor.","S","48972","-","-","-","-","-","-","-","-","-","-","-",""
"MES","M E S College of Engineering, Kuttippuram.","S","47701","-","-","-","-","-","-","-","-","-","-","-","MM:46073"
"MGC","M G College of Engineering, Thiruvallom.","S","47333","-","-","-","-","-","-","-","-","-","-","-",""
"MGE","MGM College of Engineering & Technology, Ernakulam","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"MGP","Saintgits College of Engineering, Kottayam","S","28394","43166","35598","-","-","-","-","-","-","-","-","-",""
