"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"KKE","Govt. Engineering College, Kozhikkode.","G","13390","19425","17668","28755","38169","-","25196","40405","-","-","49154","-","EW:46141"
"TVE","College of Engineering,Thiruvananthapuram.","G","2068","3281","4669","3389","4810","43391","4980","7258","11712","-","44790","-","EW:8206"
"LBT","LBS Institute of Tech. for Women, Poojapura, TVPM","N","52046","-","-","-","-","-","-","-","-","-","-","-","MG:48971"
"KMC","KMCT College of  Engineering, Kozhikkode.","S","33558","-","-","-","-","-","-","-","-","-","-","-",""
"MZC","Mount Zion College of Engg., Pathanamthitta.","S","43411","-","-","-","-","-","-","-","-","-","-","-",""
"PAA","P A Aziz College of Engineering, Karakulam, Thiruvananthapuram","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"RET","Rajagiri School of Engineering and Technology, Kochi.","S","46510","-","-","-","-","-","-","-","-","-","-","-",""
"VML","Vimal Jyothi Engineering College, Chemperi.","S","51146","-","-","-","-","-","-","-","-","-","-","-","YR:45253"
