"Name of College","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"NSS","N S S College of Engineering, Palakkad.","G","15118","17775","18417","19079","-","-","27062","-","-","-","53236","-","EW:38602"
"SNM","Sree Narayana Mangalam Inst. of Mgmt. & Tech., Moothakunnam.","S","51115","-","-","-","-","-","-","-","-","-","-","-",""
