"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"JBT","Jai Bharath College of Management & Engg. Tech., Perumbavoor.","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"JCE","Jawaharlal College of Engineering & Technology, Ottappalam.","S","48007","-","-","-","-","-","-","-","-","-","-","-",""
"JEC","Jyothi Engineering College, Cheruthuruthy.","S","53034","-","-","-","-","-","-","-","-","-","-","-",""
"JIT","John Cox Memorial CSI Institute of Technology,","S","51334","-","-","-","-","-","-","-","-","-","-","-",""
"KIT","Kottayam Institute of Tech. & Science, Pallicathode, Kottayam.","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"KMC","KMCT College of  Engineering, Kozhikkode.","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"KME","K M E A Engineering College, Edathala.","S","38473","-","-","-","-","-","-","-","-","-","-","-","MM:50468"
"LMC","Lourdes Matha College of Science and Technology, Kuttichal.","S","51125","-","-","-","-","-","-","-","-","-","-","-",""
"MBC","Mar Baselios Christian College of Engg. & Tech., Peermede.","S","51047","-","-","-","-","-","-","-","-","-","-","-",""
"MBI","Mar Baselios Institute of Technology & Science, Kothamangalam.","S","49501","-","-","-","-","-","-","-","-","-","-","-",""
"MBT","Mar Baselious College of Engg. & Tech., Thiruvananthapuram.","S","50366","-","-","-","-","-","-","-","-","-","-","-",""
"MCC","Musaliar College of Engineering, Chirayinkeezh.","S","52207","-","-","-","-","-","-","-","-","-","-","-",""
"MCE","Marian Engineering College, Kazhakuttom.","S","52902","-","-","-","-","-","-","-","-","-","-","-",""
"MCK","Musaliar College of Engineering & Tech., Pathanamthitta.","S","53159","-","-","-","-","-","-","-","-","-","-","-",""
"MCT","Mohandas College of Engg. & Tech., Nedumangad, TVM","S","52375","-","-","-","-","-","-","-","-","-","-","-",""
"MEA","M E A Engineering College, Malappuram.","S","52783","-","-","-","-","-","-","-","-","-","-","-",""
"MEC","Malabar College of Engineering & Tech., Wadakancherry.","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"MEE","MES College of Engineering & Technology, .Ernakulam.","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"MEK","MES Institute of Tech. & Management, Chathannoor.","S","49479","-","-","-","-","-","-","-","-","-","-","-",""
