"Name of College","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"SCT","S C T College of Engineering, Pappanamcode, TVPM","N","34336","41170","43321","38998","37754","-","43878","-","-","47375","37995","-","EW:44642 MG:44529"
"VPE","Mahaguru Institute of Technology, Mavelikkara, Alappuzha","S","-","-","-","-","-","-","-","-","-","-","-","-",""
