"Name of College","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"AJC
Amal Jyothi College of Engineering, Koovapally, Kanjirapally","S","53063","-","-","-","-","-","-","-","-","-","-","-",""
"SNP
Sree Narayana Institute of Technology, Adoor","S","53127","-","-","-","-","-","-","-","-","-","-","-",""
