"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"PRN","College of Engineering Perumon.","N","29515","34322","43155","-","33160","-","45965","35699","-","38637","40462","-","EW:42374 MG:50673"
"PRP","College of Engineering & Management, Punnapra.","N","51961","-","-","-","-","-","-","-","-","-","-","-",""
"SCT","S C T College of Engineering, Pappanamcode, TVPM","N","14630","19712","17478","17057","21085","30664","16487","-","-","-","52147","-","EW:32579 MG:48802 OE:50093"
"TLY","College of Engineering, Thalassery, Kannur.","N","38094","47764","51262","42830","-","-","40510","-","-","-","49765","-","EW:42243 MG:30146 OE:50665"
"UCC","Calicut Unity. Institute of Engineering & Tech., Tenhipalam.","N","52782","-","-","-","-","-","-","-","-","-","-","-",""
"AAE","Al-Azhar College of Engineering & Technology, Thodupuzha.","S","49885","-","-","-","-","-","-","-","-","-","-","-","MM:50713"
"AAP","Al-Ameen College of Engineering, Pattambi.","S","44205","-","-","-","-","-","-","-","-","-","-","-",""
"AIK","Albertian Institute of Science and Technology, Kalamassery.","S","53124","-","-","-","-","-","-","-","-","-","-","-",""
"AJC","Amal Jyothi College of Engineering, Koovapally, Kanjirapally","S","52460","-","-","-","-","-","-","-","-","-","-","-",""
"AME","Rajadhani Institute of Science and Technology, Palakkad","S","45146","-","-","-","-","-","-","-","-","-","-","-",""
"ASI","Adi Sankara Institute of Engg. & Tech., Kalady, Ernakulam.","S","52741","-","-","-","-","-","-","-","-","-","-","-",""
"ATP","Ahalia School of Engineering & Technology, Pudussery, Palakkad.","S","50587","-","-","-","-","-","-","-","-","-","-","-",""
"AWH","AWH Engineering College, Kozhikkode","S","52966","-","-","-","-","-","-","-","-","-","-","-",""
"AXE","Axis College of Engineering & Technology, Murikkingal, Thrissur.","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"BJK","Bishop Jerome Institute, Kollam.","S","53005","-","-","-","-","-","-","-","-","-","-","-","YC:50621"
"BMC","Baselios Mathew II College of Engg., Sasthamcotta, Kollam.","S","52464","-","-","-","-","-","-","-","-","-","-","-",""
"CCE","Christ College of Engineering, Irinjalakuda.","S","51564","-","-","-","-","-","-","-","-","-","-","-",""
"CCV","MGM College of Engineering and Pharmaceutical Sciences,","S","52015","-","-","-","-","-","-","-","-","-","-","-",""
"CEN","College of Engineering and Technology, Payyannur, Kannur.","S","53093","-","-","-","-","-","-","-","-","-","-","-",""
"CKC","Christ Knowledge City, Kuzhoor,EKM","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"CMA","Carmel College of Engg. & Technology, Punnapra, Alappuzha.","S","52965","-","-","-","-","-","-","-","-","-","-","-",""
"DMC","M Dasan Memmorial Co-op. Inst. of Engg. & Inf. Tech., Koyilandy.","S","51796","-","-","-","-","-","-","-","-","-","-","-",""
"ECE","ICCS College of Engineering and Management, Thrissur","S","-","-","-","-","-","-","-","-","-","-","-","-",""
